ZoneID,WorldPopCLASS,TotalPopSUM,PovertySUM,PctPoverty
1,0 - 50,"10,633,321.91","7,496,475.14",0.704998419
2,50 - 100,"13,253,273.83","9,139,534.95",0.689605834
3,100 - 150,"11,046,936.06","7,478,839.40",0.677005765
4,150 - 200,"9,109,894.25","6,121,526.31",0.671964585
5,200 - 250,"7,474,523.41","4,966,425.70",0.66444714
6,250 - 300,"6,244,224.93","4,114,682.10",0.658958021
7,300 - 350,"5,300,502.16","3,445,168.00",0.649970115
8,350 - 400,"4,556,690.18","2,929,105.19",0.642814208
9,400 - 450,"3,913,811.55","2,485,492.53",0.635056772
10,450 - 500,"3,437,065.90","2,161,983.25",0.629020017
11,500 - 550,"3,014,223.83","1,876,962.63",0.622701808
12,550 - 600,"2,727,388.87","1,678,153.06",0.615296586
13,600 - 650,"2,484,080.89","1,511,164.17",0.608339356
14,650 - 700,"2,277,970.13","1,372,190.28",0.602374132
15,700 - 750,"2,106,706.83","1,249,770.48",0.593234171
16,750 - 800,"1,993,109.61","1,168,647.62",0.586343879
17,800 - 850,"1,835,323.94","1,065,519.58",0.580562132
18,850 - 900,"1,692,797.11","975,601.78",0.576325287
19,900 - 950,"1,585,739.71","910,039.77",0.573889753
20,950 - 1000,"1,486,358.74","847,462.92",0.570160418
21,Over 1000,"62,329,259.01","28,382,626.06",0.455366011
